,_entropy_hour,_label,_rate,_total,cnt_firmware_ver,cnt_payload_ip,cnt_profile_id,condition_updated,payload_lastwill,payload_malf_false,payload_malf_true,ratio_offline,ratio_online
baee6915f0c6f6472f0576c63f472bc4,2.49906490285,1,0.999749921296,0.0744997040979,6,70,2,0,102,205,0,0.517073170732,0.482926829268
9c761f51698f05834f7f03ffc956e91a,2.71595570997,1,0.997648837886,0.301765455754,2,135,2,132,36,377,0,0.0981432360743,0.901856763926
1ee2fb2e0ff7ef8942b15af459213225,0.344598248103,1,0.940009802456,-0.191084110337,2,2,2,0,1,4,0,0.5,0.5
f713f0d7db396cf887356dcdf8222ccd,1.40521213923,1,0.999791823296,-0.156729985087,5,6,2,0,10,30,0,0.433333333333,0.566666666667
4eb8d32f3d950a602a5f453b1c1a17ec,0.456334432293,1,0.996333812908,-0.189762797828,1,2,2,0,2,5,0,0.4,0.6
dff3680e5c7e3d05257f633f34a4044c,0.623848004006,1,0.995162180785,-0.187120172808,1,2,2,0,3,7,0,0.428571428571,0.571428571429
093f2aecd10063d130e14cabf21dba24,1.19671112943,1,0.996318442248,-0.164657860145,1,3,2,0,9,24,0,0.375,0.625
f44159d25f23db8680238edcb4227505,1.76231371031,1,0.998335461996,0.000506203558734,2,2,3,111,16,148,1,0.114093959732,0.885906040268
cedb69fd9b2b40975d7ef2757fc3a74c,0.997907583168,1,0.972823462901,-0.168621797674,2,2,2,1,8,21,0,0.428571428571,0.571428571429
b2e4be91b357542af01c6107228034be,0.952512746879,0,0.583270851268,-0.167300485164,1,2,2,18,2,22,0,0.0909090909091,0.909090909091
9cb9f87842deeb7379af0efd9bbafd1d,1.79063021645,1,0.999837807002,-0.106520109721,8,3,2,26,14,68,0,0.279411764706,0.720588235294
23434da782a5a0c7fb13e52e8185ded2,0.456334432293,1,0.96528875965,-0.191084110337,2,2,1,0,1,4,0,0.25,0.75
54359876fcac22defdf4224e945bc145,0.456334432293,1,0.947018287076,-0.191084110337,1,2,1,0,2,4,0,0.5,0.5
87f6d5199c2c292d0c529b5126041ce7,0.894750481832,1,0.997286408937,-0.130303734894,1,3,2,46,2,50,0,0.04,0.96
6a093b7ee05c7e28f9c0a47b8671030e,1.44213267144,1,0.998377920457,0.00711276610687,3,3,2,143,2,153,1,0.0194805194805,0.980519480519
522d0e0b81ed2ada829b824c31d64240,1.67468264166,0,0.948827719991,-0.113126672269,2,3,2,41,10,63,0,0.174603174603,0.825396825397
615d1c1bf7ecf8aa26505fa5f92f2248,1.29043365353,1,0.999794512441,-0.0378118592205,3,2,2,108,3,120,0,0.0416666666667,0.958333333333
c40837cf16003bc546941a71af6fb84c,1.4298983731,1,0.99757580234,-0.134267672423,2,3,2,41,2,47,0,0.063829787234,0.936170212766
f34ba879f6995c164403d1bb87ad65e8,1.31608016055,1,0.913048832729,-0.117090609798,2,5,2,49,4,60,0,0.0833333333333,0.916666666667
b8805ad9c0435ed3bb639ed3d2f807a8,1.30618838419,1,0.99804302813,-0.156729985087,1,2,2,0,18,30,0,0.6,0.4
ce30f6b1a0e240664aa79972c834cf37,1.82771972828,1,0.999664397724,-0.122375859837,8,3,2,0,17,56,0,0.375,0.625
876f3a7dc9c11fdf738f7b4f588f0fe0,2.71595570997,1,0.997516687293,0.144529267108,2,23,2,88,81,258,0,0.317829457364,0.682170542636
079f8254b7ba5cfd859a5dc7ab1cd3f4,1.05566984821,1,0.999612507805,0.211916205099,4,2,2,302,1,309,0,0.00970873786408,0.990291262136
6e63ce57b28bc2a4b8b404df714bddc5,1.55669692838,1,0.986142899191,-0.150123422539,3,4,2,0,10,35,0,0.342857142857,0.657142857143
90750fcbb4b15448e2c01c94c3ec26c7,0.544283732969,1,0.995847156385,-0.189762797828,1,2,1,0,2,5,0,0.4,0.6
768c1a6fa668d6ba582b72ab8139358f,0.896541306141,1,0.999455105068,-0.175228360222,2,3,2,11,2,16,0,0.125,0.875
7fcba8699413d8a553b255e863b73c19,2.36173836677,1,0.998344473078,0.0176832661839,3,25,2,82,21,154,8,0.141975308642,0.858024691358
20a73e836a317a3740b607bdcac85396,0.456334432293,0,0.976721195488,-0.189762797828,2,1,1,0,1,5,0,0.2,0.8
be6afa6121dd4fe2869a7a59a559d8cb,0.709713102424,1,0.239027948243,-0.164657860145,2,7,1,0,8,24,0,0.375,0.625
a7692321403a2717cf6b388c786a431b,2.18845157163,1,0.999052927292,0.215880142628,5,8,2,286,7,312,0,0.0320512820513,0.967948717949
caf4a8e37767745a310fac4f5bb47e42,1.74660315977,1,0.999375733963,-0.0615954843938,3,5,2,87,5,102,0,0.0588235294118,0.941176470588
