,_label,dcnt_catid,dcnt_device,dcnt_profile,dcnt_rule,net_access,net_buf_overflow,net_ddos,net_misc,net_scan,net_trojan,net_virus,net_web_attack,network_attack,ra_network_attack,ra_weak_password,ra_web_threat,sw_rate,sw_total
22f87e7e12192a5d7af2277dc60c0e71,1,5,4,1,3,2,23,0,0,0,0,0,0,25,0.694444444,0,0.305555556,0.941515427,36
9c761f51698f05834f7f03ffc956e91a,1,4,3,1,2,0,1,0,0,0,0,0,0,1,0.041666667,0,0.958333333,0.997648838,24
f713f0d7db396cf887356dcdf8222ccd,1,6,3,1,2,2,0,0,0,0,0,0,0,2,0.285714286,0,0.714285714,0.999791823,7
4eb8d32f3d950a602a5f453b1c1a17ec,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.996333813,1
dff3680e5c7e3d05257f633f34a4044c,1,4,4,1,2,0,0,0,0,0,0,0,2,2,0.125,0,0.875,0.995162181,16
093f2aecd10063d130e14cabf21dba24,1,2,2,1,2,0,0,0,0,32,0,0,0,32,0.96969697,0,0.03030303,0.996318442,33
f44159d25f23db8680238edcb4227505,1,5,3,1,3,82,0,0,0,11,0,0,0,93,0.911764706,0,0.088235294,0.998335462,102
cedb69fd9b2b40975d7ef2757fc3a74c,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.972823463,13
b2e4be91b357542af01c6107228034be,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.583270851,2
9cb9f87842deeb7379af0efd9bbafd1d,1,5,3,1,2,1,0,0,0,0,0,0,0,1,0.090909091,0,0.909090909,0.999837807,11
1ee2fb2e0ff7ef8942b15af459213225,1,4,4,1,2,0,0,0,0,0,0,0,2,2,0.4,0,0.6,0.940009802,5
87f6d5199c2c292d0c529b5126041ce7,1,3,3,1,3,8,8,0,0,0,0,0,0,16,0.842105263,0,0.157894737,0.997286409,19
6a093b7ee05c7e28f9c0a47b8671030e,1,2,1,1,2,0,0,0,0,0,0,0,1,1,0.5,0,0.5,0.99837792,2
522d0e0b81ed2ada829b824c31d64240,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.94882772,20
d685b2f676b806af13a9e4c01a669657,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.939773825,8
