,__EVENTCASE__,__NOTIFICATION__death_period,__NOTIFICATION__distinct_payload_app_id,__NOTIFICATION__distinct_payload_notification_id,__NOTIFICATION__distinct_payload_notification_type_id,__NOTIFICATION__distinct_payload_pmac_batch_id,__NOTIFICATION__distinct_payload_pmac_campaign_id,__NOTIFICATION__distinct_payload_pmac_request_id,__NOTIFICATION__distinct_payload_profile_id,__NOTIFICATION__entropy_for_hours_of_day,__NOTIFICATION__event_type_sent,__NOTIFICATION__hours_of_day_0,__NOTIFICATION__hours_of_day_1,__NOTIFICATION__hours_of_day_10,__NOTIFICATION__hours_of_day_11,__NOTIFICATION__hours_of_day_12,__NOTIFICATION__hours_of_day_13,__NOTIFICATION__hours_of_day_14,__NOTIFICATION__hours_of_day_15,__NOTIFICATION__hours_of_day_16,__NOTIFICATION__hours_of_day_17,__NOTIFICATION__hours_of_day_18,__NOTIFICATION__hours_of_day_19,__NOTIFICATION__hours_of_day_2,__NOTIFICATION__hours_of_day_20,__NOTIFICATION__hours_of_day_21,__NOTIFICATION__hours_of_day_22,__NOTIFICATION__hours_of_day_23,__NOTIFICATION__hours_of_day_3,__NOTIFICATION__hours_of_day_4,__NOTIFICATION__hours_of_day_5,__NOTIFICATION__hours_of_day_6,__NOTIFICATION__hours_of_day_7,__NOTIFICATION__hours_of_day_8,__NOTIFICATION__hours_of_day_9,__NOTIFICATION__live_period,__NOTIFICATION__locale,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_ARP_SPOOFING_FOUND,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_BOX_CONNECTED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_BOX_DISCONNECTED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_CONNECTED_AT_HOME,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_CONTINUE_BROWSING_REQ,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_DEFAULT_PASSWORD,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_DIAMOND_APP_INSTALLED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_GENERIC,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_IDENTIFY,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_INAPPROPRIATE_APP,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_ATTACK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_CONTROL,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_CONTROL_BLOCK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_DEVICE_JOINED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_DEVICE_JOINED_ROUTER,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_IN_CLIENT_VERSION,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_PATTERN_UPDATE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_RANSOMWARE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_RENEW_SUCCESS,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_UNABLE_TO_CONTINUE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING_BLOCK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING_DENIED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEB_THREATS,__NOTIFICATION__rate,__NOTIFICATION__station_final_status,__NOTIFICATION__total_event,__STATIONID__
0,D45D-94D7-5F4B-7947-2337_2017-08-31 13:17:36,173548.0,2,5,5,1,1,1,1,1.2573576223491638,48,2,0,2,2,2,0,0,0,0,2,2,4,0,6,0,0,0,2,2,2,0,6,6,8,2793867.0,0,0,2,2,0,0,0,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,0,0,12,0.941515426726629,1,48,D45D-94D7-5F4B-7947-2337
1,CB39-ACBE-649E-FBC8-8283_2017-09-06 22:59:51,11095.0,1,6,6,1,1,1,1,2.1265965771766595,100,3,1,7,3,16,14,2,1,4,2,5,3,1,8,10,2,2,0,2,4,2,5,2,1,4707848.0,0,0,6,14,0,0,0,0,0,0,0,1,0,52,8,0,0,0,0,0,0,0,0,0,19,0.9976488378859418,1,100,CB39-ACBE-649E-FBC8-8283
2,6258-DA42-D7E4-48B6-8DB2_2017-05-19 10:29:21,1956.0,1,9,9,1,1,1,1,2.9470047701612985,566,4,6,21,20,40,75,100,49,41,23,18,25,6,12,9,9,7,28,10,7,10,17,15,14,9393908.0,0,0,0,4,73,0,0,0,0,0,136,2,0,316,1,0,1,0,0,0,0,0,28,0,5,0.9997918232958672,1,566,6258-DA42-D7E4-48B6-8DB2
3,ED93-33AE-8F4E-4C2F-8EE4_2017-07-23 13:18:51,3514.0,1,7,7,1,1,1,1,1.9892700410931456,105,2,2,10,15,30,8,1,1,1,1,1,0,1,0,2,2,1,6,2,4,3,4,6,2,954975.0,0,0,0,2,41,1,0,0,0,0,35,0,0,19,0,0,0,0,0,0,0,0,6,0,1,0.9963338129076076,1,105,ED93-33AE-8F4E-4C2F-8EE4
4,96FD-63F5-9C48-6C87-74B8_2017-07-25 10:48:04,5652.0,1,4,4,1,1,1,1,0.8602030628046026,11,1,0,2,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1162643.0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0.9951621807848188,1,11,96FD-63F5-9C48-6C87-74B8
5,9FC2-BD77-4FE3-4D9A-DEEB_2017-05-11 21:20:35,4124.0,1,4,4,1,1,1,1,1.3422673044417015,25,2,2,1,1,2,0,1,0,0,1,0,0,3,0,1,0,0,2,3,0,5,1,0,0,1116054.0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,1,0.9963184422475714,1,25,9FC2-BD77-4FE3-4D9A-DEEB
7,4725-B638-BD46-4A7A-333D_2017-10-11 18:12:50,4061.0,2,8,8,1,1,1,2,1.8560362344170935,73,3,1,6,3,3,11,3,2,1,0,2,6,2,0,3,4,0,1,1,6,3,4,4,4,2435655.0,0,1,7,6,0,0,0,0,0,0,7,34,3,0,6,0,0,0,0,0,0,0,0,0,9,0.9983354619963964,1,73,4725-B638-BD46-4A7A-333D
8,88BF-2258-64B9-FAB5-CED5_2017-05-03 07:14:58,9626.0,1,7,6,1,1,1,1,2.578629173891136,334,9,17,20,9,11,40,20,42,5,7,4,3,13,5,6,15,31,23,4,5,5,23,4,13,3436394.0,0,0,0,1,0,0,0,0,0,0,125,0,188,1,8,0,1,0,0,0,0,10,0,0,0,0.9972066325790332,1,334,88BF-2258-64B9-FAB5-CED5
9,F34A-5CF4-F4ED-7AB5-9A36_2017-08-28 06:38:21,270118.0,1,4,4,1,1,1,1,0.5660857389596289,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,378068.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.5832708512680003,0,6,F34A-5CF4-F4ED-7AB5-9A36
11,849F-6CC7-B434-CBE9-64EC_2017-08-11 01:07:14,2438.0,2,6,6,1,1,1,1,1.1633868698684846,42,0,2,2,2,0,2,0,0,0,0,0,0,4,0,0,0,2,2,4,0,0,12,8,2,15029037.0,0,0,2,18,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,16,0.9998378070016416,1,42,849F-6CC7-B434-CBE9-64EC
14,972D-6DC3-64B6-487A-886C_2017-04-11 23:00:31,49951.0,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,892846.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9470182870755848,1,1,972D-6DC3-64B6-487A-886C
15,B4F6-33D3-383E-47F9-979D_2017-10-31 13:26:52,2701.0,1,5,5,1,1,1,1,1.0132843295512497,15,2,4,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,992659.0,0,0,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,2,0.99728640893747,1,15,B4F6-33D3-383E-47F9-979D
17,785D-F97D-2743-4D92-EAE6_2017-11-03 01:35:37,5440.0,3,7,6,1,1,1,2,2.614589432947608,599,29,23,16,16,15,23,24,32,28,28,25,27,22,33,32,13,31,20,16,20,29,34,29,34,3779554.0,0,0,279,279,0,0,0,0,0,0,0,25,0,0,12,1,0,1,0,0,0,0,0,0,2,0.9985627454099002,1,599,785D-F97D-2743-4D92-EAE6
18,C88C-435C-2344-23B7-A4F9_2017-09-14 13:02:44,52020.0,3,4,4,1,1,1,1,1.2830041293692709,69,9,9,6,3,3,0,3,0,6,0,0,0,3,0,0,0,0,6,0,0,0,9,0,12,964546.0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,33,0.9488277199906352,0,69,C88C-435C-2344-23B7-A4F9
19,87AE-2ACB-CFC4-A97B-8CA3_2017-04-13 09:42:24,66485.0,1,5,5,1,1,1,1,1.3157866830355225,24,0,0,3,1,0,1,0,1,0,2,2,0,0,1,1,2,0,2,1,1,0,2,0,4,1037437.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,5,0.9397738245999264,1,24,87AE-2ACB-CFC4-A97B-8CA3
21,8C92-9456-A624-F46B-62CB_2017-06-22 02:32:02,1705.0,1,4,4,1,1,1,1,1.1082153551850982,21,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,2,4,1,0,2,2,869539.0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9980430281298924,1,21,8C92-9456-A624-F46B-62CB
22,59D4-B8D3-8F47-EB97-36A7_2017-06-12 05:51:18,67962.0,1,4,4,1,1,1,1,0.623848004006291,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,756455.0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.9175635630997421,0,8,59D4-B8D3-8F47-EB97-36A7
24,787A-E5B8-A984-B5A9-5B5F_2017-04-23 02:49:43,30460.0,1,6,6,1,1,1,1,1.523620897203404,53,1,0,17,1,2,13,0,0,1,0,1,3,5,1,1,0,0,1,2,2,1,0,1,0,2167691.0,0,0,0,7,0,0,0,0,0,0,0,0,0,36,1,0,1,0,0,0,0,0,4,0,4,0.9861428991911838,1,53,787A-E5B8-A984-B5A9-5B5F
25,E989-CF5A-A2A4-7369-8743_2017-08-04 23:17:05,976.0,1,1,1,1,1,1,1,0.3767701612564368,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1790195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.9994551050681371,1,3,E989-CF5A-A2A4-7369-8743
26,C8ED-7CB5-8243-ED9F-966C_2017-10-20 12:01:01,2896.0,1,5,4,1,1,1,1,1.2702281251355492,26,1,0,3,5,2,4,0,0,0,0,1,0,0,0,0,3,3,0,1,0,0,3,0,0,1746396.0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0.9983444730782512,1,26,C8ED-7CB5-8243-ED9F-966C
27,65E4-DD73-CF4F-4F3A-AF54_2017-10-15 01:04:46,11266.0,1,6,6,1,1,1,1,1.828465772673408,59,2,1,2,4,9,0,0,1,1,2,0,0,4,0,6,2,2,4,1,2,4,4,3,5,11884336.0,0,0,2,5,0,0,1,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,31,0.999052927291952,1,59,65E4-DD73-CF4F-4F3A-AF54
28,7929-FEC4-6464-92B7-B4F4_2017-09-19 11:20:36,1178.0,2,8,8,1,1,1,1,1.7694950060960326,72,0,0,2,2,4,4,0,3,5,6,2,0,0,0,4,2,4,6,8,2,0,4,10,4,1885838.0,0,0,2,2,42,0,3,1,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,2,0.9993757339630401,1,72,7929-FEC4-6464-92B7-B4F4
30,D3C5-982B-34F8-CBB8-A958_2017-08-23 08:45:35,1067.0,1,4,4,1,1,1,1,0.5442837329694393,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1465936.0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9992726667907292,1,6,D3C5-982B-34F8-CBB8-A958
31,7E44-E8F4-4424-584A-C4C7_2017-09-29 07:48:37,5625.0,1,3,2,1,1,1,1,0.5140966973399506,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,777140.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0.9928139352168276,1,11,7E44-E8F4-4424-584A-C4C7
32,5BE3-98FD-C8E7-4533-9B42_2017-10-15 01:40:37,2987.0,1,5,5,1,1,1,1,1.0710465945979115,20,0,0,1,1,1,3,0,0,1,0,0,0,0,1,0,0,8,0,0,1,2,1,0,0,1155569.0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,0.9974217905737832,0,20,5BE3-98FD-C8E7-4533-9B42
33,369F-CABD-AE4C-3F92-35F7_2017-06-15 16:46:37,1403.0,1,3,3,1,1,1,1,1.270228125135549,23,0,4,0,2,0,0,0,0,2,0,0,0,1,5,1,3,0,0,0,0,0,2,2,1,1448766.0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0.9990325265538016,1,23,369F-CABD-AE4C-3F92-35F7
34,ACA2-4B84-34B8-F94A-E4D4_2017-07-04 06:53:18,156791.0,1,3,3,1,1,1,1,0.7356219397587946,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,2,0,0,0,1603766.0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9109423892552186,1,9,ACA2-4B84-34B8-F94A-E4D4
36,D28F-E24B-E747-7A84-B769_2017-09-11 13:50:55,1029779.0,1,2,2,1,1,1,1,0.2868359830561607,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357448.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2576708786665773,0,2,D28F-E24B-E747-7A84-B769
37,4F5A-28E9-E842-99DE-2A7E_2017-07-28 11:37:42,84317.0,1,4,3,1,1,1,1,1.033867842224612,19,0,0,5,4,0,2,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3018249.0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,0.9728234629013532,1,19,4F5A-28E9-E842-99DE-2A7E
38,6C37-B439-835D-452B-AAF2_2017-07-10 03:44:18,1691.0,2,3,3,1,1,1,1,0.4563344322932884,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1123909.0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.9984976901208245,1,8,6C37-B439-835D-452B-AAF2
40,53B2-3BEB-9949-A88C-F58B_2017-09-21 06:38:33,4202.0,2,4,4,1,1,1,1,1.451700379090459,74,0,0,10,2,4,0,8,0,0,0,2,0,0,0,0,0,0,2,4,10,4,16,4,8,3529219.0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,34,0.9988107842229952,1,74,53B2-3BEB-9949-A88C-F58B
41,A53D-38B7-8724-C249-C7C6_2017-09-12 16:29:23,1346.0,1,4,4,1,1,1,1,0.6519508373776711,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,704538.0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.998093171115934,1,7,A53D-38B7-8724-C249-C7C6
42,4C6E-933A-7447-AB4B-4D77_2017-10-12 12:03:56,27244.0,1,8,8,1,1,1,1,2.831480240067973,339,0,10,66,13,17,6,2,2,3,1,3,7,18,5,1,1,1,15,12,29,27,34,30,36,4981060.0,0,0,2,1,232,0,0,0,0,0,0,4,79,0,0,0,0,0,1,0,0,15,0,0,5,0.9945602343627704,1,339,4C6E-933A-7447-AB4B-4D77
