,__EVENTCASE__,__PARENTALCONTROL__death_period,__PARENTALCONTROL__distinct_payload_app_id,__PARENTALCONTROL__distinct_payload_app_name,__PARENTALCONTROL__distinct_payload_device_id,__PARENTALCONTROL__distinct_payload_member_id,__PARENTALCONTROL__distinct_payload_profile_id,__PARENTALCONTROL__distinct_payload_reason,__PARENTALCONTROL__distinct_payload_url,__PARENTALCONTROL__event_type_continue_browsing_allowed,__PARENTALCONTROL__event_type_continue_browsing_requested,__PARENTALCONTROL__event_type_inappropriate_app_detected,__PARENTALCONTROL__event_type_kids_back_to_home,__PARENTALCONTROL__event_type_network_time_limited,__PARENTALCONTROL__event_type_web_site_filtered,__PARENTALCONTROL__hours_of_day_0,__PARENTALCONTROL__hours_of_day_1,__PARENTALCONTROL__hours_of_day_10,__PARENTALCONTROL__hours_of_day_11,__PARENTALCONTROL__hours_of_day_12,__PARENTALCONTROL__hours_of_day_13,__PARENTALCONTROL__hours_of_day_14,__PARENTALCONTROL__hours_of_day_15,__PARENTALCONTROL__hours_of_day_16,__PARENTALCONTROL__hours_of_day_17,__PARENTALCONTROL__hours_of_day_18,__PARENTALCONTROL__hours_of_day_19,__PARENTALCONTROL__hours_of_day_2,__PARENTALCONTROL__hours_of_day_20,__PARENTALCONTROL__hours_of_day_21,__PARENTALCONTROL__hours_of_day_22,__PARENTALCONTROL__hours_of_day_23,__PARENTALCONTROL__hours_of_day_3,__PARENTALCONTROL__hours_of_day_4,__PARENTALCONTROL__hours_of_day_5,__PARENTALCONTROL__hours_of_day_6,__PARENTALCONTROL__hours_of_day_7,__PARENTALCONTROL__hours_of_day_8,__PARENTALCONTROL__hours_of_day_9,__PARENTALCONTROL__live_period,__PARENTALCONTROL__locale,__PARENTALCONTROL__payload_action_accept,__PARENTALCONTROL__payload_action_block,__PARENTALCONTROL__payload_cat_id_0,__PARENTALCONTROL__payload_cat_id_1,__PARENTALCONTROL__payload_cat_id_2,__PARENTALCONTROL__payload_cat_id_3,__PARENTALCONTROL__payload_cat_id_4,__PARENTALCONTROL__payload_cat_name_,__PARENTALCONTROL__rate,__PARENTALCONTROL__station_final_status,__PARENTALCONTROL__total_event,__STATIONID__
0,6258-DA42-D7E4-48B6-8DB2_2017-05-19 10:29:21,1956.0,9,9,21,6,1,1,34,0,0,765,990,6651,123,5,15,149,153,343,393,795,931,944,931,921,950,16,958,134,22,46,76,85,99,147,151,131,134,9393908.0,0,0,6774,123,0,0,0,0,123,0.9997918232958672,1,8529,6258-DA42-D7E4-48B6-8DB2
1,CB39-ACBE-649E-FBC8-8283_2017-09-06 22:59:51,11095.0,1,1,3,3,1,1,2,0,0,0,0,497,1,1,2,4,1,28,62,56,52,52,50,58,54,0,63,14,1,0,0,0,0,0,0,0,0,4707848.0,0,0,498,0,1,0,0,0,0,0.9976488378859418,1,498,CB39-ACBE-649E-FBC8-8283
2,6FB6-554C-C5C4-B3A5-8B57_2017-11-07 07:48:20,9613.0,3,3,7,5,1,1,3,0,0,1035,6,0,98,27,16,95,43,59,5,6,0,4,0,2,7,35,21,77,61,53,78,124,94,91,85,86,70,4781322.0,0,98,0,90,8,0,0,0,90,0.9979935023121792,1,1139,6FB6-554C-C5C4-B3A5-8B57
3,A6CA-BA34-3BF4-3F8E-7E82_2017-09-03 09:37:16,2858.0,6,6,7,4,1,1,1,0,0,285,8,417,0,4,0,3,27,17,8,85,93,63,74,77,70,0,33,29,14,10,4,16,3,0,48,7,25,608612.0,0,388,29,0,0,0,0,0,0,0.9953260176296466,1,710,A6CA-BA34-3BF4-3F8E-7E82
5,4725-B638-BD46-4A7A-333D_2017-10-11 18:12:50,4061.0,2,2,3,1,1,1,1,0,0,51,0,42,0,5,0,1,0,2,9,23,11,2,0,0,10,0,4,2,8,2,0,0,0,0,5,5,4,2435655.0,0,42,0,0,0,0,0,0,0,0.9983354619963964,1,93,4725-B638-BD46-4A7A-333D
6,88BF-2258-64B9-FAB5-CED5_2017-05-03 07:14:58,9626.0,10,10,21,9,1,1,7,0,0,4459,0,28710,22,1395,1327,1298,1349,1356,1500,1428,1557,1571,1550,1452,1444,1374,1464,1457,1420,1446,1458,1258,1262,1210,1250,1167,1198,3436394.0,0,28723,9,22,0,0,0,0,22,0.9972066325790332,1,33191,88BF-2258-64B9-FAB5-CED5
11,87AE-2ACB-CFC4-A97B-8CA3_2017-04-13 09:42:24,66485.0,1,1,4,2,1,1,10,0,0,0,0,159,37,0,0,13,9,7,10,12,25,18,24,27,24,0,11,1,2,0,6,2,0,0,1,0,4,1037437.0,0,0,196,37,0,0,0,0,37,0.9397738245999264,1,196,87AE-2ACB-CFC4-A97B-8CA3
14,787A-E5B8-A984-B5A9-5B5F_2017-04-23 02:49:43,30460.0,1,1,4,3,1,1,2,0,0,0,0,761,6,0,0,71,48,47,100,72,66,61,66,69,79,5,77,5,0,0,0,0,1,0,0,0,0,2167691.0,0,0,767,6,0,0,0,0,6,0.9861428991911838,1,767,787A-E5B8-A984-B5A9-5B5F
15,7929-FEC4-6464-92B7-B4F4_2017-09-19 11:20:36,1178.0,1,1,2,1,1,1,1,0,0,0,34,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,4,4,2,1885838.0,0,0,0,0,0,0,0,0,0,0.9993757339630401,1,34,7929-FEC4-6464-92B7-B4F4
17,369F-CABD-AE4C-3F92-35F7_2017-06-15 16:46:37,1403.0,1,1,2,2,1,1,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1448766.0,0,0,6,6,0,0,0,0,6,0.9990325265538016,1,6,369F-CABD-AE4C-3F92-35F7
