,__EVENTCASE__,__SECURITYWARNING__death_period,__SECURITYWARNING__distinct_payload_cat_id,__SECURITYWARNING__distinct_payload_device_id,__SECURITYWARNING__distinct_payload_dip,__SECURITYWARNING__distinct_payload_dport,__SECURITYWARNING__distinct_payload_profile_id,__SECURITYWARNING__distinct_payload_rule_category,__SECURITYWARNING__distinct_payload_rule_severity,__SECURITYWARNING__distinct_payload_sip,__SECURITYWARNING__distinct_payload_url,__SECURITYWARNING__entropy_for_hours_of_day,__SECURITYWARNING__event_type_network_attack_prevented,__SECURITYWARNING__event_type_weak_password_detected,__SECURITYWARNING__event_type_web_threat_blocked,__SECURITYWARNING__hours_of_day_0,__SECURITYWARNING__hours_of_day_1,__SECURITYWARNING__hours_of_day_10,__SECURITYWARNING__hours_of_day_11,__SECURITYWARNING__hours_of_day_12,__SECURITYWARNING__hours_of_day_13,__SECURITYWARNING__hours_of_day_14,__SECURITYWARNING__hours_of_day_15,__SECURITYWARNING__hours_of_day_16,__SECURITYWARNING__hours_of_day_17,__SECURITYWARNING__hours_of_day_18,__SECURITYWARNING__hours_of_day_19,__SECURITYWARNING__hours_of_day_2,__SECURITYWARNING__hours_of_day_20,__SECURITYWARNING__hours_of_day_21,__SECURITYWARNING__hours_of_day_22,__SECURITYWARNING__hours_of_day_23,__SECURITYWARNING__hours_of_day_3,__SECURITYWARNING__hours_of_day_4,__SECURITYWARNING__hours_of_day_5,__SECURITYWARNING__hours_of_day_6,__SECURITYWARNING__hours_of_day_7,__SECURITYWARNING__hours_of_day_8,__SECURITYWARNING__hours_of_day_9,__SECURITYWARNING__live_period,__SECURITYWARNING__locale,__SECURITYWARNING__payload_rule_category_Access Control,__SECURITYWARNING__payload_rule_category_Backdoor/Trojan,__SECURITYWARNING__payload_rule_category_Buffer Overflow,__SECURITYWARNING__payload_rule_category_DoS/DDoS,__SECURITYWARNING__payload_rule_category_Misc,__SECURITYWARNING__payload_rule_category_Scan,__SECURITYWARNING__payload_rule_category_Virus/Worm,__SECURITYWARNING__payload_rule_category_Web Attack,__SECURITYWARNING__rate,__SECURITYWARNING__station_final_status,__SECURITYWARNING__total_event,__STATIONID__
0,D45D-94D7-5F4B-7947-2337_2017-08-31 13:17:36,173548.0,5,4,3,3,1,3,2,5,5,1.5486301307614119,25,0,11,1,0,4,3,2,0,0,0,0,1,0,5,0,3,0,0,0,1,4,1,0,1,3,7,2793867.0,0,2,0,23,0,0,0,0,0,0.941515426726629,1,36,D45D-94D7-5F4B-7947-2337
1,CB39-ACBE-649E-FBC8-8283_2017-09-06 22:59:51,11095.0,4,3,2,3,1,2,2,2,8,1.3422673044417015,1,0,23,2,1,3,2,4,0,0,0,0,0,0,0,1,1,2,3,0,0,0,2,1,0,1,1,4707848.0,0,0,0,1,0,0,0,0,0,0.9976488378859418,1,24,CB39-ACBE-649E-FBC8-8283
2,6258-DA42-D7E4-48B6-8DB2_2017-05-19 10:29:21,1956.0,6,3,3,1,1,2,3,3,6,0.6749754468353846,2,0,5,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,9393908.0,0,2,0,0,0,0,0,0,0,0.9997918232958672,1,7,6258-DA42-D7E4-48B6-8DB2
3,ED93-33AE-8F4E-4C2F-8EE4_2017-07-23 13:18:51,3514.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954975.0,0,0,0,0,0,0,0,0,0,0.9963338129076076,1,1,ED93-33AE-8F4E-4C2F-8EE4
4,96FD-63F5-9C48-6C87-74B8_2017-07-25 10:48:04,5652.0,4,4,2,1,1,2,2,2,5,0.6749754468353846,2,0,14,1,0,0,0,0,0,1,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1162643.0,0,0,0,0,0,0,0,0,2,0.9951621807848188,1,16,96FD-63F5-9C48-6C87-74B8
5,9FC2-BD77-4FE3-4D9A-DEEB_2017-05-11 21:20:35,4124.0,2,2,2,1,1,2,2,2,2,1.1134321132614635,32,0,1,0,3,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,4,14,0,6,0,0,0,1116054.0,0,0,0,0,0,0,32,0,0,0.9963184422475714,1,33,9FC2-BD77-4FE3-4D9A-DEEB
7,4725-B638-BD46-4A7A-333D_2017-10-11 18:12:50,4061.0,5,3,3,3,1,3,3,10,5,2.1047945711864697,93,0,9,3,1,7,10,5,18,5,6,0,0,0,0,7,0,0,1,0,3,3,8,8,4,7,6,2435655.0,0,82,0,0,0,0,11,0,0,0.9983354619963964,1,102,4725-B638-BD46-4A7A-333D
8,4F5A-28E9-E842-99DE-2A7E_2017-07-28 11:37:42,84317.0,2,3,1,1,1,1,1,1,2,0.5442837329694394,0,0,13,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3018249.0,0,0,0,0,0,0,0,0,0,0.9728234629013532,1,13,4F5A-28E9-E842-99DE-2A7E
9,F34A-5CF4-F4ED-7AB5-9A36_2017-08-28 06:38:21,270118.0,1,1,1,1,1,1,1,1,1,0.2868359830561607,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378068.0,0,0,0,0,0,0,0,0,0,0.5832708512680003,0,2,F34A-5CF4-F4ED-7AB5-9A36
11,849F-6CC7-B434-CBE9-64EC_2017-08-11 01:07:14,2438.0,5,3,2,2,1,2,2,2,8,0.8823830530748153,1,0,10,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,15029037.0,0,1,0,0,0,0,0,0,0,0.9998378070016416,1,11,849F-6CC7-B434-CBE9-64EC
14,6AD5-763E-7864-678A-583A_2017-05-16 10:57:55,43329.0,4,4,2,1,1,2,2,2,4,0.5442837329694393,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,678939.0,0,0,0,0,0,0,0,0,2,0.9400098024555982,1,5,6AD5-763E-7864-678A-583A
15,B4F6-33D3-383E-47F9-979D_2017-10-31 13:26:52,2701.0,3,3,3,3,1,3,3,3,3,1.0408500236214475,16,0,3,7,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,1,1,0,992659.0,0,8,0,8,0,0,0,0,0,0.99728640893747,1,19,B4F6-33D3-383E-47F9-979D
16,2D6F-8F9E-96B4-44C7-92D8_2017-10-21 12:10:57,5053.0,2,1,2,2,1,2,2,2,2,0.2868359830561607,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110084.0,0,0,0,0,0,0,0,0,1,0.9983779204574308,1,2,2D6F-8F9E-96B4-44C7-92D8
17,C88C-435C-2344-23B7-A4F9_2017-09-14 13:02:44,52020.0,3,3,1,2,1,1,1,1,8,1.1502228895686266,0,0,20,3,6,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,1,964546.0,0,0,0,0,0,0,0,0,0,0.9488277199906352,0,20,C88C-435C-2344-23B7-A4F9
18,87AE-2ACB-CFC4-A97B-8CA3_2017-04-13 09:42:24,66485.0,2,2,1,1,1,1,1,1,2,0.7097131024243333,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1037437.0,0,0,0,0,0,0,0,0,0,0.9397738245999264,1,8,87AE-2ACB-CFC4-A97B-8CA3
20,8C92-9456-A624-F46B-62CB_2017-06-22 02:32:02,1705.0,2,2,2,1,1,2,2,2,2,0.3445982481028228,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,869539.0,0,0,0,0,0,0,28,0,0,0.9980430281298924,1,29,8C92-9456-A624-F46B-62CB
21,59D4-B8D3-8F47-EB97-36A7_2017-06-12 05:51:18,67962.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,756455.0,0,0,0,0,0,0,0,0,0,0.9175635630997421,0,1,59D4-B8D3-8F47-EB97-36A7
23,787A-E5B8-A984-B5A9-5B5F_2017-04-23 02:49:43,30460.0,2,1,1,1,1,1,1,1,2,0.5442837329694393,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2167691.0,0,0,0,0,0,0,0,0,0,0.9861428991911838,1,6,787A-E5B8-A984-B5A9-5B5F
24,65E4-DD73-CF4F-4F3A-AF54_2017-10-15 01:04:46,11266.0,7,5,6,3,1,2,3,6,8,1.7764719633802422,10,1,37,2,1,1,4,9,0,0,1,1,2,0,0,2,0,6,1,0,2,1,2,2,5,3,3,11884336.0,0,0,0,0,0,0,0,0,10,0.999052927291952,1,48,65E4-DD73-CF4F-4F3A-AF54
25,7929-FEC4-6464-92B7-B4F4_2017-09-19 11:20:36,1178.0,3,2,2,2,1,2,2,2,2,0.4505612088663046,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1885838.0,0,0,0,0,0,1,0,0,0,0.9993757339630401,1,4,7929-FEC4-6464-92B7-B4F4
