,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
0,2FEC-ABA2-9C74-E4AF-8297_2017-07-19 09:06:11,2FEC-ABA2-9C74-E4AF-8297,2793.0,6,1,70,2,2.4990649028542835,0,1,0,204,18,6,13,12,27,9,4,0,0,0,0,0,11,2,0,10,39,10,4,6,9,16,8,1,11165691.0,0,205,0,4,102,106,99,0.9997499212963908,1,205
1,CB39-ACBE-649E-FBC8-8283_2017-09-06 22:59:51,CB39-ACBE-649E-FBC8-8283,11095.0,2,2,135,2,2.715955709974649,132,0,0,245,34,5,5,17,98,17,14,5,8,14,38,6,9,2,13,3,1,0,2,12,42,19,5,8,4707848.0,0,377,0,1,36,37,340,0.9976488378859418,1,377
3,6AD5-763E-7864-678A-583A_2017-05-16 10:57:55,6AD5-763E-7864-678A-583A,43329.0,2,1,2,2,0.3445982481028228,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678939.0,0,4,0,1,1,2,2,0.9400098024555982,1,4
4,6258-DA42-D7E4-48B6-8DB2_2017-05-19 10:29:21,6258-DA42-D7E4-48B6-8DB2,1956.0,5,1,6,2,1.4052121392333319,0,0,0,30,1,0,4,2,2,5,0,2,0,1,0,1,0,0,0,0,0,2,2,3,0,5,0,0,9393908.0,0,30,0,3,10,13,17,0.9997918232958672,1,30
5,ED93-33AE-8F4E-4C2F-8EE4_2017-07-23 13:18:51,ED93-33AE-8F4E-4C2F-8EE4,3514.0,1,1,2,2,0.4563344322932884,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,954975.0,0,5,0,0,2,2,3,0.9963338129076076,1,5
6,96FD-63F5-9C48-6C87-74B8_2017-07-25 10:48:04,96FD-63F5-9C48-6C87-74B8,5652.0,1,1,2,2,0.623848004006291,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1162643.0,0,7,0,0,3,3,4,0.9951621807848188,1,7
7,9FC2-BD77-4FE3-4D9A-DEEB_2017-05-11 21:20:35,9FC2-BD77-4FE3-4D9A-DEEB,4124.0,1,1,3,2,1.1967111294257538,0,0,0,24,2,0,0,2,0,0,0,1,0,0,0,0,7,0,1,0,1,1,0,0,5,4,0,0,1116054.0,0,24,0,0,9,9,15,0.9963184422475714,1,24
9,4725-B638-BD46-4A7A-333D_2017-10-11 18:12:50,4725-B638-BD46-4A7A-333D,4061.0,2,2,2,3,1.7623137103139592,111,1,2,35,0,26,4,0,0,32,0,0,3,0,5,31,0,0,7,3,0,0,4,6,2,26,0,0,2435655.0,0,148,1,1,16,17,132,0.9983354619963964,1,149
10,4F5A-28E9-E842-99DE-2A7E_2017-07-28 11:37:42,4F5A-28E9-E842-99DE-2A7E,84317.0,2,2,2,2,0.9979075831681395,1,0,0,20,0,0,4,7,0,4,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3018249.0,0,21,0,1,8,9,12,0.9728234629013532,1,21
11,F34A-5CF4-F4ED-7AB5-9A36_2017-08-28 06:38:21,F34A-5CF4-F4ED-7AB5-9A36,270118.0,1,2,2,2,0.9525127468791601,18,0,0,4,5,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,6,0,0,0,378068.0,0,22,0,0,2,2,20,0.5832708512680003,0,22
13,849F-6CC7-B434-CBE9-64EC_2017-08-11 01:07:14,849F-6CC7-B434-CBE9-64EC,2438.0,8,2,3,2,1.790630216446525,26,1,0,41,5,5,2,6,4,0,0,0,0,3,4,0,2,0,0,0,5,3,7,3,3,12,4,0,15029037.0,0,68,0,5,14,19,49,0.9998378070016416,1,68
14,D237-726E-566A-424C-BAD4_2017-04-10 14:00:59,D237-726E-566A-424C-BAD4,59506.0,2,1,2,1,0.4563344322932884,0,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1654809.0,0,4,0,0,1,1,3,0.965288759650356,1,4
17,972D-6DC3-64B6-487A-886C_2017-04-11 23:00:31,972D-6DC3-64B6-487A-886C,49951.0,1,1,2,1,0.4563344322932884,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,892846.0,0,4,0,0,2,2,2,0.9470182870755848,1,4
